Song Name,Artist,Genre,Song Duration,YouTube Link
Banjaara,Mohammed Irfan,Bollywood Romantic,5:36,https://youtu.be/0NFxcNheoLc?si=ytYLZfsumsxzXzKV
Namo Namo,Amit Trivedi,Devotional,5:22,https://youtu.be/dx4Teh-nv3A?si=AYmCKiD1C_FiQQLP
Tum Hi Ho,Arijit Singh,Bollywood Romantic,4:22,https://youtu.be/Umqb9KENgmk?si=iohhyNQdTmbxxGyh
Kal Ho Naa Ho,Sonu Nigam,Bollywood Inspirational,5:21,https://youtu.be/g0eO74UmRBs?si=Z6Bh8iETGotbuPwb
Pal Pal Dil Ke Paas,Arijit Singh,Bollywood Romantic,4:14,https://youtu.be/lgTHGZF3BQw?si=yAMywD7slHWB0eyg
Piya O Re Piya,Atif Aslam,Bollywood Romantic,4:51,https://youtu.be/u-FaTNxrWhw?si=QmezXHxPdTQMUXMl
Mast Magan,Arijit Singh,Bollywood Romantic,4:40,https://youtu.be/xitd9mEZIHk?si=oEyOaba7KfKviM4d
Tu Jaane Na,Atif Aslam,Bollywood Sad,5:41,https://youtu.be/P8PWN1OmZOA?si=HJr0Srg-gxZURrJC
Pehli Dafa,Atif Aslam,Bollywood Romantic,4:52,https://youtu.be/SxTYjptEzZs?si=znQUOG85u4JRFdJo
Aaj Se Teri,Arijit Singh,Bollywood Wedding,5:12,https://youtu.be/NFsEqOBG51M?si=v7wriNVUfd2A9mMi
Mere Yaaraa,Arijit Singh,Bollywood Romantic,4:45,https://youtu.be/iTAj46KJZtM?si=H3QWFygtJlOdcqjo
Jugraafiya,"Udit Narayan, Shreya Ghoshal",Bollywood Romantic,4:34,https://youtu.be/gRRMSF0nB0c?si=1gferSkoMSdq3S5n
Qaafirana,Arijit Singh,Bollywood Romantic,5:41,https://youtu.be/ZmcBC9-wAXM?si=LH-IZqaUbBMnzaGb
Kaho Na Kaho,Amir Jamal,Bollywood Pop,5:12,https://youtu.be/S-z6vyR89Ig?si=JPDJaV8j5n7p9nhT
Ik Vaari Aa,Arijit Singh,Bollywood Pop,4:34,https://youtu.be/zXLgYBSdv74?si=GviCYj_UnasAn_G5
Jiya Dhadak Dhadak Jaye,Rahat Fateh Ali Khan,Bollywood Sufi,5:19,https://youtu.be/iasxMdSu7Jo?si=LmC_AcR6iEnGJIq5
Tere Sang Yaara,Atif Aslam,Bollywood Romantic,4:51,https://youtu.be/gIOea2pgfIo?si=g2A0Zfnyktxkp20j
Main Rang Sharbaton Ka,Atif Aslam,Bollywood Pop,4:23,https://youtu.be/RBCk1SyC1PA?si=axMLmX_fYeJ4Cfml
Aadat,Atif Aslam,Bollywood Rock,4:28,https://youtu.be/e5LShHAE03A?si=WDw9QVaH_F7UbmOM
Woh Lamhe Woh Baatein,Atif Aslam,Bollywood Sad,5:18,https://youtu.be/FLKxnL7KwHw?si=UxiAY7U0071GLEAl
Ye Tune Kya Kiya,Javed Bashir,Bollywood Sufi,5:14,https://youtu.be/w9Qo6p4XsXE?si=Yti5dEaIzi2dsaY2
Ilahi,Arijit Singh,Bollywood Travel,3:48,https://youtu.be/fdubeMFwuGs?si=6WS3-jLkXbMWqu6q
Teri Meri Kahaani,Arijit Singh,Bollywood Romantic,5:31,https://youtu.be/ZWAGn4yyRMM?si=zU3CBY7tKJNOmYU-
Soch Na Sake,Arijit Singh,Bollywood Sad,4:41,https://youtu.be/MRtRcTfszjY?si=yLc98vhhOF5DkjA4
Itni Si Baat Hain,Arijit Singh,Bollywood Romantic,4:54,https://youtu.be/tucWbkH5WX0?si=m09_6Wtewtx2AOz0
Humsafar,Akhil Sachdeva,Bollywood Romantic,4:28,https://youtu.be/D9DiMnlpFK8?si=8UGGoiclk6JhIIdV
Pehli Nazar Mein,Atif Aslam,Bollywood Romantic,5:14,https://youtu.be/BadBAMnPX0I?si=4tWFnkEUDICujlrH
Besabriyaan,Armaan Malik,Bollywood Inspirational,4:15,https://youtu.be/UBBHpoW3AKA?si=ClFulEYn-pIIjNB9
Tera Fitoor,Arijit Singh,Bollywood Romantic,5:11,https://youtu.be/IFGM4pOPXvA?si=V8dO6aY8dD-Ue3uk
Mann Ki Lagan,Rahat Fateh Ali Khan,Sufi,4:52,https://youtu.be/lrkaKvhRnEI?si=RsYHa71lJonBEA2Q
Main Rahoon Ya Na Rahoon,Armaan Malik,Bollywood Romantic,5:48,https://youtu.be/Dp6lbdoprZ0?si=fCKmuFns9CwhzBZC
Jaan 'Nisaar,Arijit Singh,Bollywood Emotional,4:03,https://youtu.be/vdbP_3o73qI?si=sAeehdV5IBwfWQnw
Tere Liye,Atif Aslam,Bollywood Romantic,4:39,https://youtu.be/AlvUuGJccKs?si=PIk0w-JSX7eYPSpf
Shayad,Arijit Singh,Bollywood Romantic,4:07,https://youtu.be/MJyKN-8UncM?si=b-VmCfjyR95R8Ohn
Jeena Jeena,Atif Aslam,Bollywood Romantic,3:49,https://youtu.be/zFdi834FiZ4?si=2JYV8_wgbeLP6xiQ
Baarish,Mohammed Irfan,Bollywood Romantic,4:45,https://youtu.be/Qvd-I7lTecI?si=_npCRcmXfLkoVgkU
Main Dhoondne Ko Zamaane Mein,Arijit Singh,Bollywood Sad,4:22,https://youtu.be/FIu4lel3S_o?si=Z-u4apJNyUWvUNw2
Main Hoon Na,Sonu Nigam,Bollywood Pop,6:02,https://youtu.be/DIJW7rWPkSw?si=LrHZOCgv91oo5mQr
Isq Risk,Rahat Fateh Ali Khan,Bollywood Sufi,5:07,https://youtu.be/pHu4PLhuKgQ?si=RBTpMHyDFo8tYo8T
Kabhi Jo Baadal Barse,Arijit Singh,Bollywood Romantic,4:14,https://youtu.be/RazuWp5kSHk?si=cDfXLFmDtbSewzui
Yeh Sham Mastani,Kishore Kumar,Classic Bollywood,4:41,https://youtu.be/lbfWsIpXsCA?si=GYviy93K9bIvgznr
Yeh Raaten Yeh Mausam,Kishore Kumar & Asha Bhosle,Classic Bollywood,3:17,https://youtu.be/zMGYCKr5trw?si=w2N4vkD8SXIuazOj
Dum Maro Dum,Asha Bhosle,Classic Bollywood Psychedelic,2:36,https://youtu.be/kOrRYDJ4AuY?si=DllYQdbag4mrUCBS
Main Zindagi Ka Saath,Mohammed Rafi,Classic Bollywood Ghazal,3:50,https://youtu.be/_l7UvpgK-Xc?si=pDGOAHwwNyp6y8fA
Main Hoon Jhoom Jhoom,Kishore Kumar,Classic Bollywood,3:28,https://youtu.be/iR9B3GAUWfM?si=JojNIaLmeBOjHJCI
Beqarar Karke Hamen,Hemant Kumar,Classic Bollywood Romantic,3:11,https://youtu.be/WgP_2Bw4qlI?si=mlIzuZNJpX0H0KSr
Chaudhvin Ka Chand Ho,Mohammed Rafi,Classic Bollywood Romantic,3:39,https://youtu.be/uAsM_D5oO9c?si=83gZQ88OtdAiuC5Q
Intaha Ho Gai,Kishore Kumar & Asha Bhosle,Classic Bollywood Pop,8:50,https://youtu.be/kX1a6JAmGp4?si=_GMW27MiC04TIjwj
